,,"OBJETIVO 2: Categorizar las tecnologías de IA a partir de un estudio documental, según su utilidad para la accesibilidad web.           ",,,,,,,,,,,,,,,,"Eficacia, Eficiencia, Satisfacción",,,"Robusto: El contenido debe ser lo suficientemente sólido como para que pueda ser interpretado por una amplia variedad de agentes de usuario, incluidas las tecnologías de asistencia. (W3C)",,,"Operable: Los componentes de la UI y la navegación deben estar operativos. (W3C)
Operabilidad. Capacidad del producto que permite al usuario operarlo y controlarlo con facilidad. (ISO)",,
,Nombre de la tecnología,DESCRIPCIÓN,URL REFERENCIA,MODALIDAD DE PAGO,,,,CARACTERIZACIÓN DE LA TI,,,,Ultima actualización,"CATEGORÍA
(marzo)",Referencias bibliográficas,"Tipo 
Producto","Tipo 
Tecnología IA","Tipo 
Discapacidad",Usabilidad,,,Robustez,,,Operabilidad,,
,,,,PAGO,GRATUITA,COSTO,Opción para desarrolladores,FORTALEZAS,OPORTUNIDADES,DEBILIDADES,Version,,,,,,,"Precisión
(Baja, Media, Alta)","Sensibilidad
(Baja, Media, Alta)","Tiempo de Respuesta
(Lento, Moderado, Rápido)","Multidispositivo
(PC, Mobile, Tablet, ..)","Multi-navegador
(Todos, Chrome, Opera, ...)","Multi-OS
(Todos, Windows, MacOS, Linux, ...)","Requerimiento de Configuración Previa
(Manual, Automática)","Navegación por Teclado
(Total, Parcial, No)","Soporte para Comandos por Voz
(Sí, Parcial, No)"
1,Chat GPT," Un modelo avanzado de inteligencia artificial que combina capacidades multimodales (texto, imágenes y voz) y razonamiento complejo. La versión más reciente, GPT-o1, destaca por su capacidad para resolver problemas en ciencia, matemáticas y programación, generando respuestas precisas y naturales, aunque con tiempos de respuesta ligeramente mayores..",https://openai.com/chatgpt/overview/,X,X,$20 USD/mes para ChatGPT Plus (acceso a GPT-4).,"Sí, API disponible con precios por token.","ChatGPT destaca por su capacidad multimodal, permitiendo procesar texto, imágenes y voz, junto con un razonamiento avanzado que lo hace ideal para resolver tareas complejas en ciencia, programación y matemáticas. Genera respuestas precisas, naturales y altamente contextuales.","Tiene un amplio potencial de expansión en sectores especializados como educación, investigación y colaboración en equipos, así como su integración con dispositivos inteligentes y herramientas personalizadas. Esto podría potenciar aún más su alcance en aplicaciones comerciales y personales.","Sus tiempos de respuesta pueden ser más prolongados en comparación con versiones anteriores, además de depender de un entrenamiento inicial extenso y costoso. También puede presentar limitaciones en contextos muy específicos o dinámicos.",OpenAI o1,diciembre de 2024,,,"Asistentes conversacionales, Herramientas de simplificación de texto, Asistentes por voz","Procesamiento de Lenguaje Natural, Síntesis de voz, Reconocimiento de voz","Visual, Cognitiva, Motora",Alta,Alta,Moderado,Todas,Todos,Todos  ,Automática,Parcial  ,Sí  
2,Microsoft Copilot (anteriormente Bing Chat)," Asistente de IA integrado en Microsoft 365, diseñado para mejorar la productividad. Automatiza tareas y análisis en herramientas como Word y Excel, ofrece sugerencias contextuales y cuenta con una interfaz optimizada para accesibilidad y usabilidad en Windows.",https://www.microsoft.com/es-cl/microsoft-copilot/personal-ai-assistant,X,X,Incluido en Microsoft 365 (desde $12 USD/mes según plan).,No directamente; se integra con el ecosistema Microsoft.,"Su integración fluida en el ecosistema de Microsoft 365 le permite automatizar tareas repetitivas y realizar análisis de datos con sugerencias contextuales, acompañado de una interfaz accesible e intuitiva que mejora la experiencia del usuario.","Microsoft Copilot tiene el potencial de expandirse a herramientas fuera de Microsoft 365, integrarse en sectores como la educación o la gestión empresarial personalizada, y evolucionar rápidamente gracias a la retroalimentación de usuarios.","Está limitado a los usuarios del ecosistema Microsoft 365, con una posible dependencia de conexión a internet para algunas funcionalidades avanzadas. Además, enfrenta competencia directa de otras soluciones de automatización en el mercado.",Microsoft Copilot Pro,enero de 2024,,,"Asistentes conversacionales, Herramientas de simplificación de texto, Asistentes por voz, Generadores automáticos de descripciones de imágenes","Procesamiento de Lenguaje Natural, Síntesis de voz, Reconocimiento de voz, Visión por computadora","Cognitiva, Visual",Media,Alta,Moderado,Todas ,"Chrome, Edge",Parcial  ,Automática,Parcial  ,Parcial  
3,Gemini 2.0,"Un modelo multimodal que procesa texto, imágenes y audio, con la capacidad sobresaliente de realizar tareas autónomas como programar videollamadas o realizar pedidos en línea. Se integra con los servicios de Google para proporcionar respuestas actualizadas y adaptadas a las necesidades del usuario.",https://workspace.google.com/intl/es-419/solutions/ai/,X,X,$6 USD/mes por usuario (según plan de Workspace).,"Sí, API a través de Google Cloud AI.","Gemini 2.0 es un modelo multimodal avanzado capaz de procesar texto, imágenes y audio, y su capacidad de realizar tareas autónomas como programar eventos o gestionar pedidos lo hace altamente versátil. Su integración profunda con los servicios de Google optimiza su funcionalidad.","Tiene grandes posibilidades de ampliarse dentro del ecosistema de dispositivos Android e inteligentes, ofreciendo mayor personalización basada en el aprendizaje continuo y entrando en sectores como la automatización empresarial y la gestión de tareas corporativas.","Su dependencia de los servicios de Google puede ser un punto crítico, especialmente en entornos con altos estándares de privacidad o limitaciones de conexión. Además, enfrenta una fuerte competencia con otros modelos multimodales avanzados en el mercado.",2.0 Flash,diciembre de 2024,,,"Asistentes conversacionales, Generadores automáticos de descripciones de imágenes, Asistentes por voz, Herramientas de simplificación de texto","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz, Visión por computadora","Visual, Cognitiva",Alta,Alta,Moderado,Todas,Todos,Todos  ,Automática,Parcial  ,Sí  
4, Alexa,"Asistente virtual con enfoque en la interacción por voz y el control de dispositivos inteligentes. Con su última actualización, incorpora inteligencia artificial generativa, permitiendo conversaciones más naturales, fluidas y contextualizadas. Alexa se posiciona como una herramienta robusta para la gestión del hogar inteligente y otras aplicaciones mediante habilidades personalizables. Su modelo ""Remarkable Alexa"" planea incluir funciones avanzadas mediante una suscripción mensual, reforzando su competitividad en el mercado de asistentes virtuales.",https://developer.amazon.com/en-US/alexa/alexa-developer-documentation-landing,X,X,"Depende del desarrollador; ""Remarkable Alexa"" tendrá una suscripción opcional (sin precio definido).","Sí, Alexa Skills Kit (ASK).","Integracion IoT, hogar inteligente","Alexa destaca por su incorporación de inteligencia artificial generativa, lo que permite interacciones más naturales, fluidas y contextualizadas. Su integración con dispositivos IoT y servicios de Amazon es uno de sus puntos más fuertes, junto con un ecosistema amplio de habilidades (skills) que ofrece una personalización avanzada para las necesidades del usuario.","Alexa depende del ecosistema Amazon y de una conexión constante a Internet para su funcionalidad óptima. Las nuevas funciones avanzadas pueden requerir costos adicionales mediante suscripciones, lo que podría limitar su adopción por parte de ciertos usuarios.",Alexa+,febrero 2025,,,"Asistentes por voz, Navegación por voz, Software de comunicación asistiva","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz","Visual, Motora, Cognitiva",Media,Alta,Rápido,Todas,n/a,Parcial  ,Manual,No compatible  ,Sí  
5,Google Assistant,"Asistente virtual con alta integración en los servicios de Google, reconocido por su velocidad y precisión en respuestas. Mantiene su eficiencia en el reconocimiento de voz y la velocidad de respuesta, destacando su capacidad para ofrecer información rápida y contextualizada. Google Assistant continúa liderando en precisión y rapidez, siendo ideal para tareas cotidianas y gestión eficiente en dispositivos Android y el ecosistema de Google.",https://assistant.google.com/intl/es_es/, ,X,N/A.,"Sí, Actions on Google.","Alta integración con servicios de Google como Search, Maps y Workspace, ofreciendo una experiencia de usuario unificada y fluida. Capacidad para procesar múltiples modalidades de información, incluyendo texto, imágenes y audio, gracias a la implementación de Gemini 2.0. Respuestas rápidas y precisas, optimizadas para dispositivos móviles, mejorando la eficiencia y duración de la batería.","Expansión de funcionalidades en dispositivos Nest, permitiendo una interacción más natural y detallada con los usuarios. Integración de agentes especializados en áreas como programación y análisis de datos, ampliando su utilidad en entornos profesionales. Desarrollo de capacidades para interpretar entornos físicos a través de la cámara del smartphone, acercándose a un asistente personal integral.",Dependencia del ecosistema de Google para un rendimiento óptimo. Preocupaciones sobre la privacidad y seguridad de los datos personales manejados por el asistente. Limitaciones en la disponibilidad de ciertas funciones avanzadas en regiones o idiomas específicos.,Gemini ,febrero de 2024,,,"Asistentes por voz, Navegación por voz, Software de comunicación asistiva","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz","Motora, Visual, Cognitiva",Alta,Alta,Rápido,Todas,Todos,Todos  ,Parcial,Parcial  ,Parcial  
6,Siri,"Asistente de voz integrado en el ecosistema Apple, diseñado para manejar funciones del sistema y aplicaciones por comandos de voz. Con la actualización ""LLM Siri"" en desarrollo, Apple planea implementar modelos avanzados de lenguaje, permitiendo conversaciones más complejas y naturales, con mejoras previstas gradualmente hasta 2026. Siri se renueva con inteligencia avanzada, apuntando a una mayor interacción natural y capacidad para manejar solicitudes complejas.",https://www.apple.com/cl/siri/,,X,N/A.,No.,"Integración profunda con el ecosistema de Apple, permitiendo un control eficiente de funciones y aplicaciones nativas. Con la llegada de iOS 18.2 y macOS Sequoia 15.2, Siri ha mejorado su comprensión del lenguaje natural y ha incorporado capacidades de inteligencia artificial generativa, facilitando interacciones más fluidas y naturales.","El desarrollo de ""LLM Siri"" promete una versión más avanzada del asistente, con capacidades conversacionales similares a las de ChatGPT, prevista para su lanzamiento completo en 2026. Esta evolución permitirá a Siri manejar tareas más complejas y ofrecer una asistencia más proactiva y contextualizada.","A pesar de las mejoras, Siri aún enfrenta desafíos en comparación con competidores que han avanzado rápidamente en inteligencia artificial. La disponibilidad de algunas funciones avanzadas está limitada a dispositivos más recientes y, en algunos casos, a regiones específicas, lo que puede restringir su adopción generalizada. ",Actualizaciones continuas,"Prevista hasta 2026
",,,"Asistentes por voz, Navegación por voz, Software de comunicación asistiva","Procesamiento de Lenguaje Natural, Reconocimiento de voz, Síntesis de voz","Motora, Visual, Cognitiva",Media,Alta,Moderado, Apple,n/a,MacOS  ,Automatica,Parcial  ,Sí  
7,Neuralink,"Neuralink es una empresa pionera en interfaces cerebro-computadora (BCI) implantables, diseñada para conectar el cerebro humano con dispositivos externos. Su característica principal son los implantes de alta precisión que permiten controlar dispositivos digitales mediante señales neuronales, con aplicaciones en salud y tecnología avanzada.

",https://neuralink.com/,X,,N/A.,No (proyecto cerrado).,innovación en interfaces cerebro-maquina,Aplicaciones médicas y terapéuticas,Costo y barreras tecnológicas,En desarrollo,No aplica,,,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes","Análisis de EEG, Procesamiento de Lenguaje Natural, Motion tracking",Motora,Alta,Alta,Rápido,Todas,n/a,Todos  ,Manual,No compatible  ,No  
